player_name,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,rush_touchdown,fumble,fumble_lost,receptions,targets,receiving_air_yards,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,top_10_next,offense_snaps,total_tds,total_yards,games_missed,age,games_played_season
Jeff King,2012,129.0,61.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,132.0,0.0,0.0,1.0,0.0,25.9,0,332.0,0.0,129.0,5,29.0,11
Jason Witten,2012,1039.0,313.0,0.0,0.0,0.0,0.0,0.0,110.0,146.0,1191.0,3.0,8.0,14.0,3.0,225.9,1,1079.0,6.0,1039.0,0,30.0,16
Jared Cook,2012,524.0,163.0,0.0,0.0,0.0,1.0,1.0,44.0,69.0,587.0,4.0,5.0,9.0,2.0,111.4,1,470.0,8.0,524.0,3,25.0,13
Jacob Tamme,2012,555.0,198.0,0.0,0.0,0.0,0.0,0.0,52.0,82.0,701.0,2.0,3.0,6.0,2.0,115.5,0,517.0,4.0,555.0,1,27.0,15
Heath Miller,2012,816.0,343.0,0.0,0.0,0.0,0.0,0.0,71.0,98.0,742.0,8.0,12.0,19.0,7.0,194.6,0,995.0,16.0,816.0,1,29.0,15
Greg Olsen,2012,843.0,244.0,0.0,0.0,0.0,0.0,0.0,69.0,102.0,925.0,5.0,8.0,14.0,3.0,179.30000000000000,1,1007.0,10.0,843.0,0,27.0,16
Gary Barnidge,2012,78.0,43.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,35.0,1.0,0.0,0.0,0.0,19.8,0,62.0,2.0,78.0,10,26.0,6
Garrett Graham,2012,263.0,116.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,234.0,3.0,5.0,6.0,3.0,72.3,0,571.0,6.0,263.0,2,26.0,14
Fred Davis,2012,325.0,132.0,1.0,1.0,0.0,0.0,0.0,24.0,30.0,253.0,0.0,1.0,2.0,0.0,52.6,0,403.0,0.0,326.0,9,26.0,7
Ed Dickson,2012,152.0,60.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,186.0,0.0,0.0,1.0,0.0,29.2,0,364.0,0.0,152.0,7,25.0,9
Dwayne Allen,2012,521.0,242.0,3.0,5.0,0.0,1.0,0.0,45.0,66.0,470.0,3.0,6.0,8.0,3.0,115.6,0,871.0,6.0,526.0,1,22.0,15
Dustin Keller,2012,317.0,92.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,295.0,2.0,3.0,5.0,2.0,67.7,0,406.0,4.0,317.0,8,27.0,8
Dennis Pitta,2012,669.0,253.0,0.0,0.0,0.0,0.0,0.0,61.0,91.0,832.0,7.0,8.0,13.0,5.0,163.9,0,639.0,14.0,669.0,0,27.0,16
Delanie Walker,2012,344.0,55.0,0.0,0.0,0.0,1.0,1.0,21.0,38.0,474.0,3.0,3.0,6.0,2.0,68.40000000000000,0,532.0,6.0,344.0,1,28.0,15
