player_name,position,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,rush_touchdown,pass_touchdown,interception,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,rush_attempts_redzone,rush_touchdown_redzone,fantasy_points_ppr,total_tds,touches,total_yards,age,games_played_season,top_10_next
Darren McFadden,RB,2012,258.0,260.0,216.0,707.0,31.0,2.0,1.0,0.0,2.0,42.0,62.0,1.0,4.0,5.0,1.0,31.0,1.0,150.5,4.0,258.0,965.0,25.0,12,0
Darren Sproles,RB,2012,667.0,665.0,49.0,244.0,10.0,1.0,7.0,0.0,0.0,75.0,104.0,7.0,14.0,19.0,5.0,6.0,1.0,214.1,15.0,124.0,911.0,29.0,13,0
Daryl Richardson,RB,2012,163.0,183.0,99.0,475.0,10.0,0.0,0.0,0.0,3.0,24.0,36.0,0.0,4.0,5.0,0.0,10.0,0.0,81.8,0.0,123.0,638.0,22.0,16,0
David Wilson,RB,2012,34.0,14.0,71.0,358.0,9.0,4.0,1.0,0.0,1.0,4.0,9.0,1.0,1.0,3.0,1.0,16.0,2.0,70.2,6.0,75.0,392.0,21.0,14,0
DeAngelo Williams,RB,2012,187.0,213.0,173.0,723.0,28.0,5.0,2.0,1.0,2.0,13.0,19.0,2.0,1.0,1.0,0.0,23.0,3.0,138.0,9.0,186.0,910.0,29.0,16,0
Delone Carter,RB,2012,13.0,11.0,32.0,122.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,32.5,3.0,33.0,135.0,25.0,7,0
DeMarco Murray,RB,2012,251.0,240.0,161.0,663.0,23.0,4.0,0.0,1.0,3.0,35.0,41.0,0.0,3.0,3.0,0.0,18.0,4.0,142.4,4.0,196.0,914.0,24.0,10,1
Dexter McCluster,RB,2012,452.0,205.0,12.0,70.0,1.0,0.0,1.0,5.0,1.0,52.0,71.0,1.0,3.0,5.0,1.0,1.0,0.0,97.2,2.0,64.0,522.0,24.0,15,0
Dion Lewis,RB,2012,24.0,29.0,13.0,69.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,17.3,1.0,15.0,93.0,21.0,6,0
Donald Brown,RB,2012,93.0,99.0,109.0,417.0,15.0,1.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0,2.0,0.0,10.0,1.0,66.0,1.0,118.0,510.0,25.0,10,0
Doug Martin,RB,2012,472.0,436.0,319.0,1454.0,35.0,11.0,1.0,0.0,1.0,49.0,70.0,1.0,3.0,4.0,0.0,55.0,6.0,310.6,13.0,368.0,1926.0,23.0,16,0
