player_name,season,receiving_yards,yards_after_catch,rush_attempts,rush_touchdown,pass_touchdown,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,offense_snaps,total_tds,touches,total_yards,games_missed,age,games_played_season,Top_10_Next_Season_or_Not
Damian Williams,2012,324.0,75.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,3.0,6.0,0.0,56.4,379.0,0.0,30.0,324.0,3,24.0,13,0
Danny Amendola,2012,666.0,237.0,2.0,0.0,3.0,2.0,63.0,99.0,3.0,9.0,13.0,3.0,138.4,503.0,6.0,65.0,674.0,5,26.0,11,0
Darrius Heyward-Bey,2012,606.0,231.0,2.0,0.0,5.0,0.0,41.0,78.0,5.0,6.0,10.0,2.0,129.20000000000000,806.0,10.0,43.0,622.0,1,25.0,15,0
Deion Branch,2012,97.0,25.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,1.0,2.0,0.0,17.7,343.0,0.0,10.0,97.0,9,33.0,7,0
Denarius Moore,2012,741.0,258.0,1.0,0.0,7.0,1.0,51.0,108.0,7.0,9.0,15.0,5.0,154.6,794.0,14.0,52.0,736.0,1,23.0,15,0
Devery Henderson,2012,316.0,79.0,1.0,0.0,1.0,1.0,22.0,44.0,1.0,0.0,1.0,0.0,54.9,702.0,2.0,23.0,329.0,1,30.0,15,0
DeVier Posey,2012,87.0,29.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,1.0,0.0,12.400000000000000,127.0,0.0,7.0,84.0,10,22.0,6,0
Devin Aromashodu,2012,121.0,26.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,3.0,0.0,18.1,268.0,0.0,8.0,121.0,6,28.0,10,0
Devin Hester,2012,242.0,103.0,3.0,0.0,1.0,0.0,23.0,38.0,1.0,0.0,1.0,0.0,49.800000000000000,352.0,2.0,26.0,248.0,3,29.0,13,0
Dezmon Briscoe,2012,22.0,12.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,4.3,31.0,0.0,3.0,23.0,12,23.0,4,0
Domenik Hixon,2012,567.0,135.0,0.0,0.0,2.0,0.0,39.0,59.0,2.0,5.0,11.0,2.0,107.7,386.0,4.0,39.0,567.0,3,27.0,13,0
Donald Driver,2012,77.0,12.0,0.0,0.0,2.0,0.0,8.0,13.0,2.0,1.0,3.0,1.0,27.7,121.0,4.0,8.0,77.0,7,37.0,9,0
Donnie Avery,2012,781.0,207.0,4.0,0.0,3.0,1.0,60.0,123.0,3.0,5.0,13.0,3.0,151.0,1025.0,6.0,64.0,790.0,0,28.0,16,0
Dwayne Bowe,2012,801.0,237.0,0.0,0.0,3.0,1.0,59.0,109.0,3.0,2.0,4.0,1.0,144.1,738.0,6.0,59.0,801.0,3,27.0,13,0
Dwayne Harris,2012,222.0,110.0,0.0,0.0,1.0,0.0,17.0,30.0,1.0,3.0,6.0,1.0,43.2,218.0,2.0,17.0,222.0,8,24.0,8,0
Earl Bennett,2012,375.0,187.0,0.0,0.0,2.0,0.0,29.0,45.0,2.0,3.0,6.0,1.0,70.5,418.0,4.0,29.0,375.0,4,25.0,12,0
Early Doucet,2012,207.0,81.0,2.0,0.0,0.0,0.0,28.0,52.0,0.0,2.0,9.0,0.0,47.6,387.0,0.0,30.0,216.0,4,26.0,12,0
Eddie Royal,2012,195.0,75.0,3.0,0.0,1.0,0.0,20.0,34.0,1.0,1.0,2.0,1.0,41.7,223.0,2.0,23.0,217.0,7,26.0,9,0
Emmanuel Sanders,2012,624.0,209.0,1.0,0.0,1.0,2.0,44.0,71.0,1.0,3.0,5.0,1.0,100.8,722.0,2.0,45.0,628.0,0,25.0,16,0
Golden Tate,2012,682.0,253.0,3.0,0.0,8.0,1.0,45.0,66.0,7.0,9.0,12.0,4.0,159.12,717.0,15.0,49.0,725.0,1,24.0,15,0
Greg Jennings,2012,366.0,164.0,0.0,0.0,4.0,0.0,36.0,60.0,4.0,7.0,10.0,4.0,92.6,420.0,8.0,36.0,366.0,8,28.0,8,0
Greg Little,2012,641.0,183.0,2.0,0.0,4.0,0.0,53.0,88.0,4.0,3.0,6.0,3.0,134.6,906.0,8.0,55.0,656.0,0,23.0,16,0
Hakeem Nicks,2012,692.0,195.0,0.0,0.0,3.0,0.0,53.0,97.0,3.0,6.0,17.0,1.0,134.2,669.0,6.0,53.0,692.0,4,24.0,12,0
Harry Douglas,2012,395.0,152.0,2.0,0.0,1.0,1.0,38.0,57.0,1.0,6.0,8.0,1.0,79.9,586.0,2.0,40.0,399.0,1,27.0,15,0
